,headline,date,doc_type,web_url,news_desk,keywords,byline
7,Kim Jong-un Is Back. What Happens When He’s Really Gone?,2020-05-02,article,https://www.nytimes.com/2020/05/02/world/asia/kim-jong-un-alive.html,Foreign,"['Nuclear Weapons', 'Defense and Military Forces', 'Politics and Government', 'Rumors and Misinformation', 'United States International Relations', 'Coronavirus (2019-nCoV)']",By Choe Sang-Hun
20,"No More Jenga, No More ‘Amen’ as Cities Learn to Live With Coronavirus",2020-05-02,article,https://www.nytimes.com/2020/05/02/world/asia/coronavirus-china-hong-kong-south-korea-australia.html,Foreign,"['Coronavirus (2019-nCoV)', 'Quarantines', 'Hygiene and Cleanliness', 'Restaurants', 'Churches (Buildings)', 'Education (K-12)', 'Epidemics', 'Social Conditions and Trends']",By Javier C. Hernández and Su-Hyun Lee
30,Venezuelan Officials Claim to Have Stopped an Armed Incursion,2020-05-03,article,https://www.nytimes.com/2020/05/03/world/americas/venezuela-coup.html,Foreign,"[""Coups D'Etat and Attempted Coups D'Etat""]",By Anatoly Kurmanaev
39,Tanzanian Cartoonist Has a Stick for Every Powerful Eye,2020-05-01,article,https://www.nytimes.com/2020/05/01/world/africa/tanzanian-cartoonist-gado.html,Foreign,"['Cartoons and Cartoonists', 'Coronavirus (2019-nCoV)', 'Quarantine (Life and Culture)']",By Abdi Latif Dahir
47,Kim Jong-un Is Back. What Happens When He’s Really Gone?,2020-05-02,article,https://www.nytimes.com/2020/05/02/world/asia/kim-jong-un-alive.html,Foreign,"['Nuclear Weapons', 'Defense and Military Forces', 'Politics and Government', 'Rumors and Misinformation', 'United States International Relations', 'Coronavirus (2019-nCoV)']",By Choe Sang-Hun
59,Tanzanian Cartoonist Has a Stick for Every Powerful Eye,2020-05-01,article,https://www.nytimes.com/2020/05/01/world/africa/tanzanian-cartoonist-gado.html,Foreign,"['Cartoons and Cartoonists', 'Coronavirus (2019-nCoV)', 'Quarantine (Life and Culture)']",By Abdi Latif Dahir
60,Filmmaker Who Mocked Egypt’s President Dies in Prison,2020-05-02,article,https://www.nytimes.com/2020/05/02/world/middleeast/egypt-shady-habash-dead-sisi.html,Foreign,"['Deaths (Fatalities)', 'Political Prisoners', 'Politics and Government', 'Music']",By Declan Walsh
62,"No More Jenga, No More ‘Amen’ as Cities Learn to Live With Coronavirus",2020-05-02,article,https://www.nytimes.com/2020/05/02/world/asia/coronavirus-china-hong-kong-south-korea-australia.html,Foreign,"['Coronavirus (2019-nCoV)', 'Quarantines', 'Hygiene and Cleanliness', 'Restaurants', 'Churches (Buildings)', 'Education (K-12)', 'Epidemics', 'Social Conditions and Trends']",By Javier C. Hernández and Su-Hyun Lee
75,Global Backlash Builds Against China Over Coronavirus,2020-05-03,article,https://www.nytimes.com/2020/05/03/world/europe/backlash-china-coronavirus.html,Foreign,"['Coronavirus (2019-nCoV)', 'Propaganda', 'International Relations', 'United States International Relations']",By Steven Erlanger
107,Setback for Harry and Meghan in Legal Battle With U.K. Tabloids,2020-05-01,article,https://www.nytimes.com/2020/05/01/world/europe/meghan-markle-lawsuit.html,Foreign,"['Suits and Litigation (Civil)', 'Newspapers']",By Mark Landler
